"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"3648933","2019","US","All States, DC and Territories (median) **","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.5","","","","","52","Overall","Overall","_RFDRHV7","1","1","","","","","",""
"3648934","2019","US","All States, DC and Territories (median) **","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","6.5","","","","","52","Overall","Overall","_RFDRHV7","1","1","","","","","",""
"3648762","2019","UW","All States and DC (median) **","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.5","","","","","50","Overall","Overall","_RFDRHV7","2","2","","","","","",""
"3648763","2019","UW","All States and DC (median) **","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","6.5","","","","","50","Overall","Overall","_RFDRHV7","2","2","","","","","",""
"3426152","2019","AL","Alabama","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","94.3","","","93.5","95.0","6253","Overall","Overall","_RFDRHV7","3","3","","","","","",""
"3426178","2019","AL","Alabama","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","5.7","","","5.0","6.5","325","Overall","Overall","_RFDRHV7","3","3","","","","","",""
"3430435","2019","AK","Alaska","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","92.1","","","90.7","93.5","2534","Overall","Overall","_RFDRHV7","4","4","","","","","",""
"3430461","2019","AK","Alaska","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","7.9","","","6.5","9.3","247","Overall","Overall","_RFDRHV7","4","4","","","","","",""
"3434718","2019","AZ","Arizona","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","94.4","","","93.6","95.3","7800","Overall","Overall","_RFDRHV7","5","5","","","","","",""
"3434744","2019","AZ","Arizona","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","5.6","","","4.7","6.4","486","Overall","Overall","_RFDRHV7","5","5","","","","","",""
